Deskripsi,Preferensi,Cleaned
Saya menginginkan minuman bersoda namun memiliki rasa buah,['Sunsetia (campuran sirup jeruk dan soda)'],minum soda milik buah
Saya ingin minuman bersoda namun ada perisa buahnya,['Markisquash (campuran sirup markisa dan soda)'],minum soda perisa buah
Saya ingin minuman yang berbahan dasar buah namun bersoda,['Markisquash (campuran sirup markisa dan soda)'],minum bahan dasar buah soda
Saya ingin minuman rasa buah dan ada sodanya,['Markisquash (campuran sirup markisa dan soda)'],minum buah soda
Saya ingin minuman bersoda namun ada rasa buah yang agak asam,['Markisquash (campuran sirup markisa dan soda)'],minum soda buah asam
Saya menginginkan minuman buah tapi buah yang agak asam dan bersoda,['Markisquash (campuran sirup markisa dan soda)'],minum buah buah asam soda
Saya menginginkan minuman berbahan dasar kopi namun memakai susu,['Kopi Susu'],minum bahan dasar kopi pakai susu
Saya ingin minuman kopi ditambahkan dengan susu,['Kopi Susu'],minum kopi susu
Saya menginginkan minuman kopi namun ditambahkan dengan susu,['Kopi Susu'],minum kopi susu
Saya ingin minuman kopi tetapi dicampur dengan susu,['Kopi Susu'],minum kopi campur susu
Saya ingin minuman berbahan dasar kopi tetapi ditambahkan susu,['Kopi Susu'],minum bahan dasar kopi susu
Saya ingin minuman berbahan dasar kopi ditambah susu namun ada rasa buahnya,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi susu buah
Saya ingin minuman kopi  tetapi ditambahkan susu pisang,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu pisang
Saya ingin minuman kopi dicampur susu tetapi ditambahkan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi campur susu perisa buah
Saya menginginkan minuman berbahan dasar kopi ditambah susu dan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi susu perisa buah
Saya ingin minuman kopi susu ditambahkan perisa buah dan dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu perisa buah dingin
Saya ingin minuman dingin berbahan dasar kopi tetapi ditambahkan susu dna perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum dingin bahan dasar kopi susu dna perisa buah
Saya ingin minuman kopi susu dingin dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
Saya ingin minuman es kopi ditambahkan susu dan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi susu perisa buah
Saya menginginkan minuman kopi susu yang dingin dicampur perisa buah susu,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin campur perisa buah susu
Saya ingin minuman es kopi susu dicampurkan dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi susu campur perisa buah
Saya ingin minuman kopi susu dicampurkan perisa buah yang dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu campur perisa buah dingin
Saya ingin minuman es kopi dicampurkan susu dan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum es kopi campur susu perisa buah
Saya ingin minuman berbahan dasar kopi  dicampurkan susu dan perisa buah dan memakai es,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa buah pakai es
Saya ingin minuman kopi dingin dicampur dengan susu dan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin campur susu perisa buah
Saya menginginkan minuman berbahan dasar kopi tetapi dicampurkan susu dan ditambah perisa buah serta dingin,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi campur susu perisa buah dingin
Saya ingin minuman dingin berbahan dasar kopi dicampur susu dan perisa buah yang manis,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum dingin bahan dasar kopi campur susu perisa buah manis
Saya ingin kopi susu dingin dicampurkan dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],kopi susu dingin campur perisa buah
Saya ingin minuman kopi susu yang dingin ditambah dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
Saya ingin minuman kopi dingin dengan susu dan dicampurkan dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin susu campur perisa buah
Saya menginginkan minuman berbahan dasar kopi ditambahkan es dan dicampurkan susu serta perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum bahan dasar kopi es campur susu perisa buah
Saya ingin minuman kopi susu dingin dengan perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi susu dingin perisa buah
Saya ingin minuman kopi dingin dengan susu dan dicampur perisa buah,['Kopisang (es kopi susu dengan campuran perisa pisang susu)'],minum kopi dingin susu campur perisa buah
Saya ingin minuman dingin berbahan dasar kopi dicampur susu dan ditambahkan perisa daun mint,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum dingin bahan dasar kopi campur susu perisa daun mint
Saya ingin minuman kopi susu dingin ditambahkan perisa daun mint,['Kopimint (es kopi susu dengan campuran perisa daun mint)'],minum kopi susu dingin perisa daun mint
Saya ingin minuman dingin berbahan dasar kopi dicampurkan susu,['Kopi Susu'],minum dingin bahan dasar kopi campur susu
Saya ingin minuman kopi dicampur susu yang dingin,['Kopi Susu'],minum kopi campur susu dingin
Saya ingin minuman kopi dicampur susu dan ditambahkan es,['Kopi Susu'],minum kopi campur susu es
Saya ingin minuman dingin berbahan dasar kopi ditambah susu,['Kopi Susu'],minum dingin bahan dasar kopi susu
Saya ingin minuman kopi susu dingin,['Kopi Susu'],minum kopi susu dingin
